2023-06-28 22:25:09.422 ERROR 59929 --- [http-nio-8080-exec-3] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.msg.gcms.domain.club.presentation.data.request.CreateOpeningApplicationRequest]: Constructor threw exception; nested exception is java.lang.NullPointerException: Parameter specified as non-null is null: method com.msg.gcms.domain.club.presentation.data.request.CreateOpeningApplicationRequest.<init>, parameter subject
2023-06-28 22:26:39.056 ERROR 60035 --- [http-nio-8080-exec-3] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.msg.gcms.domain.club.presentation.data.request.CreateOpeningApplicationRequest]: Constructor threw exception; nested exception is java.lang.NullPointerException: Parameter specified as non-null is null: method com.msg.gcms.domain.club.presentation.data.request.CreateOpeningApplicationRequest.<init>, parameter subject
2023-06-28 22:27:36.673 ERROR 60113 --- [http-nio-8080-exec-3] GlobalExceptionHandler                   : 해당 동아리를 찾을 수 없음
2023-06-28 22:27:36.673 ERROR 60113 --- [http-nio-8080-exec-3] GlobalExceptionHandler                   : /club/application/1
2023-06-28 22:28:15.433 ERROR 60113 --- [http-nio-8080-exec-4] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.dao.DataIntegrityViolationException: could not execute statement; SQL [n/a]; constraint [null]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement
2023-06-28 22:50:23.914 ERROR 61137 --- [http-nio-8080-exec-3] GlobalExceptionHandler                   : 해당 동아리를 찾을 수 없음
2023-06-28 22:50:23.914 ERROR 61137 --- [http-nio-8080-exec-3] GlobalExceptionHandler                   : /club/application/2
2023-06-28 22:50:26.913 ERROR 61137 --- [http-nio-8080-exec-4] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 22:58:40.731 ERROR 61568 --- [http-nio-8080-exec-3] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 22:58:41.977 ERROR 61568 --- [http-nio-8080-exec-4] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 22:59:07.706 ERROR 61568 --- [http-nio-8080-exec-5] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 22:59:20.638 ERROR 61568 --- [http-nio-8080-exec-6] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 22:59:20.939 ERROR 61568 --- [http-nio-8080-exec-7] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 23:01:05.243 ERROR 61746 --- [http-nio-8080-exec-3] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 23:01:06.312 ERROR 61746 --- [http-nio-8080-exec-4] GlobalExceptionHandler                   : 해당 동아리를 찾을 수 없음
2023-06-28 23:01:06.313 ERROR 61746 --- [http-nio-8080-exec-4] GlobalExceptionHandler                   : /club/application/2
2023-06-28 23:01:07.267 ERROR 61746 --- [http-nio-8080-exec-5] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
2023-06-28 23:04:15.385 ERROR 61746 --- [http-nio-8080-exec-10] ExceptionFilter                          : Request processing failed; nested exception is org.springframework.orm.jpa.JpaSystemException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg; nested exception is org.hibernate.HibernateException: Found shared references to a collection: com.msg.gcms.domain.club.domain.entity.Club.activityImg
